name,description,equipmentNeeded,type,videoLink,muscleGroups,level,defaultWeighting
Overhead Press,"Strengthens shoulders and triceps, crucial for powerful overhead strikes.",Barbell,Upper Body,https://www.youtube.com/watch?v=ZXpdJOLNoWw&list=PLl-YPRNrgLeW4n2KMYN12Nh3vn_dKd9Zd&index=4,"Shoulders, Triceps",Beginner,5
Decline Bench Press,"Focuses on the lower chest muscles, enhancing overall chest strength.",Barbell,Upper Body,https://youtu.be/0xRvl4Qv3ZY?si=OnyYojsKkkxPjnko,"Chest, Triceps",Intermediate,3
Incline Bench Press,"Targets the upper chest and shoulders, providing balanced chest development and strength.",Barbell,Upper Body,https://youtu.be/lJ2o89kcnxY?si=GdTEDDYX6Bs4-sfY,"Chest, Shoulders",Intermediate,4
Bench Press,"A compound exercise that builds chest, triceps, and shoulder strength. Essential for powerful strikes.",Barbell,Upper Body,https://youtu.be/SCVCLChPQFY?si=VA7S3gspQ3oZAXIh,"Chest, Triceps, Shoulders",Beginner,5
Dumbbell Row,"Targets upper back and biceps, crucial for strong clinching and pulling motions.",Dumbbells,Upper Body,https://youtu.be/xl1YiqQY2vA?si=P7q410kp46vzyI7O,"Back, Biceps",Intermediate,4
Barbell Bent Over Row,"Develops overall back strength and thickness, essential for clinch control.",Barbell,Upper Body,https://youtu.be/6FZHJGzMFEc?si=LptApibK0zMBSprP,"Back, Biceps",Beginner,5
Push-Ups,"Enhances upper body strength and endurance, crucial for powerful strikes and clinch control.",None,Upper Body,https://youtu.be/JyCG_5l3XLk?si=ac9kLKnNjAjQyywR,"Chest, Triceps, Shoulders",Beginner,3
Goblet Squat,"Improves leg strength and core stability, essential for maintaining balance during kicks.","Dumbbells, Kettlebell",Lower Body,https://youtu.be/3gpXflqRiEc?si=Re2GC0v0Q3gRDSIu,"Quads, Glutes, Core",Beginner,4
Walking Lunges,"Builds leg strength and endurance, essential for maintaining stability during movement.",None,Lower Body,https://youtu.be/2nk3yjfdGz4?si=BkN9Ly5Tf-gsSWua,"Quads, Glutes",Beginner,3
Reverse Lunges,"Enhances leg strength and balance, crucial for stable and powerful kicks.",None,Lower Body,https://youtu.be/xrPteyQLGAo?si=jcbbhYKcSSKukaJX,"Quads, Glutes",Beginner,3
Medicine Ball Slams,"Builds explosive power and endurance, essential for striking power.",Medicine Ball,Full Body,https://youtu.be/QxYhFwMd1Ks?si=eZapTRe6_dTN9FU-,"Shoulders, Core, Legs",Beginner,5
High Knee Rope,"Enhances coordination and cardiovascular fitness, crucial for stamina.",Jump Rope,Conditioning,https://youtu.be/Wf26oKiPh2I?si=An4MGOCmm4DrMF4V,"Legs, Cardio",Intermediate,4
Lying Leg Raise,"Strengthens lower abs and hip flexors, crucial for overall core strength.",None,Conditioning,https://youtu.be/x99aCkll-8Y?si=Omi4oEVyXFm95GPV,"Core, Hip Flexors",Beginner,4
Bicycle Crunch,"Builds overall core strength and endurance, crucial for maintaining balance and power.",None,Conditioning,https://youtu.be/cbKIDZ_XyjY?si=wIawstaOEeqtOz1w,"Core, Obliques",Beginner,3
Knees,"Enhances close-range striking power and technique, crucial for effective attacks.",Bag,Bag Work,https://youtu.be/XzXUM6i9Qdw?si=T4TLqTDyWD_TnGtK,"Core, Hips",Beginner,5
Barbell Push Press,Combines leg drive with shoulder press to build explosive upper body strength.,Barbell,Upper Body,https://www.youtube.com/watch?v=HKx22sWywxc&list=PLl-YPRNrgLeW4n2KMYN12Nh3vn_dKd9Zd&index=16,"Shoulders, Triceps, Legs",Intermediate,6
Wide Grip Pull-Up,"Enhances back and bicep strength, improving pull strength for clinching and defense.",None,Upper Body,https://youtu.be/GRgWPT9XSQQ?si=2c_XEjglhrxuM-NU,"Back, Biceps",Intermediate,5
Neutral Grip Chin-Up,"Focuses on biceps and upper back, improving grip and pulling power.",None,Upper Body,https://youtu.be/p4eGRI0AJk8?si=k0fs8ib7hRlW2yRc,"Back, Biceps, Forearms",Beginner,5
Seated Cable Row,"Strengthens mid-back and biceps, improving pulling power and posture.",Gym,Upper Body,https://youtu.be/UCXxvVItLoM?si=Hy0ubNoROWrSoVtC,"Back, Biceps",Intermediate,4
Face Pulls,"Enhances rear deltoid and upper back strength, promoting shoulder health and stability.",Gym,Upper Body,https://www.youtube.com/shorts/DVxfKB0BnlY,"Shoulders, Upper Back",Intermediate,3
Farmer’s Walk,"Builds grip strength and overall endurance, essential for maintaining clinch control.","Dumbbells, Kettlebell",Upper Body,https://youtu.be/8OtwXwrJizk?si=0Q0YW1Ef43BvLVhD,"Shoulders, Core",Beginner,2
Power Cleans,An explosive full-body exercise that develops power and coordination.,Barbell,Full Body,https://youtu.be/O32-Ae8SNIc?si=nWn0laHVazEttiPR,"Legs, Back, Shoulders",Intermediate,6
Turkish Get-Up,"Combines strength, balance, and coordination, essential for overall functional fitness.",Kettlebell,Full Body,https://youtu.be/-QEE1Q4iW-w?si=kVgEc8lcBL9p2Dyq,"Shoulders, Core, Legs",Advanced,3
Run,"Builds cardiovascular endurance, crucial for maintaining stamina during fights.",None,Conditioning,None,"Legs, Cardio",Beginner,3
Hill Run,"Builds leg strength and cardiovascular endurance, crucial for overall stamina.",None,Conditioning,None,"Legs, Cardio",Intermediate,5
Mountain Climbers,"Builds core strength and cardiovascular endurance, essential for overall fitness.",None,Conditioning,https://youtu.be/ruQ4ZwncXBg?si=oEgg93tb8ckSHCib,"Core, Cardio",Beginner,4
